Algorithm,Tspan Generation (s),Integration Time (s),Total Time (s)
RK4,0.00942999,2.93512,2.94455
RK8,0.00942999,11.2332,11.2427
ODE45,0.00942999,4.31318,4.32261
ODE78,0.00942999,14.6049,14.6143
ODE113,0.00942999,39.8783,39.8877
MPCI,0.0,24.2053,24.2053
