Algorithm,Tspan Generation (s),Integration Time (s),Total Time (s)
RK4,0.0755192,5.7728,5.84832
RK8,0.0755192,44.645,44.7205
ODE45,0.0755192,22.1371,22.2127
ODE78,0.0755192,57.8618,57.9373
ODE113,0.0755192,44.0887,44.1642
MPCI,0.0,76.0994,76.0994
