Algorithm,Tspan Generation (s),Integration Time (s),Total Time (s)
RK4,0.00901272,1.45081,1.45983
RK8,0.00901272,15.8102,15.8192
ODE45,0.00901272,6.048,6.05701
ODE78,0.00901272,20.5764,20.5854
ODE113,0.00901272,4.45517,4.46419
MPCI,0.0,90.2957,90.2957
