Algorithm,Tspan Generation (s),Integration Time (s),Total Time (s)
RK4,0.0017397,0.380253,0.381993
RK8,0.0017397,4.9252,4.92694
ODE45,0.0017397,0.834877,0.836617
ODE78,0.0017397,3.21585,3.21759
ODE113,0.0017397,4.10418,4.10592
MPCI,0.0,4.48654,4.48654
