Algorithm,Tspan Generation (s),Integration Time (s),Total Time (s)
RK4,0.0129882,3.64468,3.65767
RK8,0.0129882,24.9781,24.9911
ODE45,0.0129882,8.50282,8.51581
ODE78,0.0129882,33.0692,33.0822
ODE113,0.0129882,43.9228,43.9358
MPCI,0.0,39.5537,39.5537
