Algorithm,Tspan Generation (s),Integration Time (s),Total Time (s)
RK4,0.00132339,0.511455,0.512779
RK8,0.00132339,3.88147,3.8828
ODE45,0.00132339,0.916438,0.917761
ODE78,0.00132339,4.02322,4.02454
ODE113,0.00132339,5.10337,5.1047
MPCI,0.0,8.8986,8.8986
