Algorithm,Tspan Generation (s),Integration Time (s),Total Time (s)
RK4,0.00253551,0.404039,0.406574
RK8,0.00253551,4.61292,4.61546
ODE45,0.00253551,1.04369,1.04622
ODE78,0.00253551,5.04514,5.04768
ODE113,0.00253551,2.09874,2.10127
MPCI,0.0,33.1785,33.1785
