Algorithm,Tspan Generation (s),Integration Time (s),Total Time (s)
RK4,0.00157284,0.407375,0.408948
RK8,0.00157284,6.07082,6.0724
ODE45,0.00157284,3.27206,3.27363
ODE78,0.00157284,7.04206,7.04363
ODE113,0.00157284,6.96723,6.96881
MPCI,0.0,15.131,15.131
