Algorithm,Tspan Generation (s),Integration Time (s),Total Time (s)
RK4,0.201814,27.0375,27.2393
RK8,0.201814,226.735,226.937
ODE45,0.201814,81.9294,82.1312
ODE78,0.201814,272.706,272.908
ODE113,0.201814,64.6876,64.8894
MPCI,0.0,1307.39,1307.39
