Algorithm,Tspan Generation (s),Integration Time (s),Total Time (s)
RK4,0.00259201,0.198882,0.201474
RK8,0.00259201,1.34013,1.34272
ODE45,0.00259201,0.435679,0.438271
ODE78,0.00259201,3.18062,3.18321
ODE113,0.00259201,2.75957,2.76216
MPCI,0.0,6.26831,6.26831
