Algorithm,Tspan Generation (s),Integration Time (s),Total Time (s)
RK4,0.0973065,28.9287,29.026
RK8,0.0973065,230.47,230.567
ODE45,0.0973065,90.1256,90.223
ODE78,0.0973065,280.095,280.193
ODE113,0.0973065,67.0904,67.1877
MPCI,0.0,1429.22,1429.22
