Algorithm,Tspan Generation (s),Integration Time (s),Total Time (s)
RK4,0.00507518,3.40539,3.41046
RK8,0.00507518,74.7812,74.7863
ODE45,0.00507518,9.17463,9.17971
ODE78,0.00507518,40.9448,40.9499
ODE113,0.00507518,49.1665,49.1715
MPCI,0.0,91.1183,91.1183
