Algorithm,Tspan Generation (s),Integration Time (s),Total Time (s)
RK4,0.0190064,7.18558,7.20458
RK8,0.0190064,59.8885,59.9075
ODE45,0.0190064,21.4723,21.4913
ODE78,0.0190064,69.3883,69.4073
ODE113,0.0190064,39.1268,39.1458
MPCI,0.0,450.428,450.428
