Algorithm,Tspan Generation (s),Integration Time (s),Total Time (s)
RK4,0.00628322,1.65014,1.65642
RK8,0.00628322,7.47424,7.48053
ODE45,0.00628322,1.95005,1.95633
ODE78,0.00628322,10.4856,10.4919
ODE113,0.00628322,2.09123,2.09751
MPCI,0.0,19.7405,19.7405
