Algorithm,Tspan Generation (s),Integration Time (s),Total Time (s)
RK4,0.00622047,0.111891,0.118111
RK8,0.00622047,0.554943,0.561164
ODE45,0.00622047,0.739455,0.745675
ODE78,0.00622047,0.737424,0.743645
ODE113,0.00622047,3.67495,3.68117
MPCI,0.0,1.31759,1.31759
